customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7301-QQRNJ,Female,1,No,No,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,105.8,5642.27,Yes
8617-KYXJH,Male,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,90.54,4984.9,Yes
7187-AJNFO,Female,1,No,Yes,32,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,48.7,1561.26,No
1963-SVPUO,Male,0,No,Yes,23,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),110.26,2502.43,No
6338-PKXOU,Male,1,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),69.04,1622.97,Yes
8596-WWSNI,Female,0,Yes,No,35,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.06,2668.46,No
1802-FQCPG,Female,1,No,Yes,66,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,106.7,7006.97,No
6450-RFSBK,Male,1,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,75.48,3344.22,No
8286-SBOYI,Female,1,Yes,Yes,9,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),39.6,392.43,Yes
1612-HQASV,Female,1,Yes,No,4,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.08,183.14,Yes
5621-GCBYZ,Male,1,No,No,18,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),25.04,413.24,Yes
2973-MRFJZ,Female,0,Yes,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,107.64,1156.83,No
9729-JTQIN,Female,0,No,Yes,54,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),103.73,5637.55,No
6001-RUYBA,Male,1,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,111.22,3872.97,No
7638-WQSXX,Male,1,Yes,Yes,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),85.5,4408.69,Yes
1585-CIEBB,Male,0,No,No,28,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,100.93,2829.12,No
9563-AHASX,Male,1,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),46.43,1640.49,Yes
3885-TUIBN,Male,0,Yes,No,27,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),46.05,1205.36,No
8701-EXUWP,Male,0,No,Yes,44,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),114.93,5037.09,No
5877-VEQMX,Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,21.45,643.24,No
1652-IPJXN,Male,1,No,Yes,15,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,118.6,1779.44,Yes
7813-THWZA,Female,1,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,56.66,834.49,No
1587-CHUFU,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),55.0,1447.87,Yes
4674-LJRKV,Female,0,No,No,41,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),54.75,2203.97,No
6890-ZIXVF,Male,1,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),38.23,257.33,No
7562-LEVBW,Female,0,No,No,69,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),92.82,6407.97,No
3355-WXCZO,Male,0,Yes,No,39,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),106.71,4174.59,No
2693-TDXFD,Female,0,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,47.4,587.46,No
5309-NSQKT,Female,0,No,Yes,63,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,114.56,7259.42,No
8483-YULCF,Female,1,Yes,No,1,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),114.26,82.18,Yes
5323-YNJBJ,Female,1,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.57,2242.85,Yes
8361-BBKBV,Female,1,Yes,Yes,2,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,114.99,234.85,Yes
1831-JNBXU,Male,1,No,Yes,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,107.32,442.63,Yes
9444-BNSXK,Female,0,Yes,Yes,52,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),78.12,4093.21,No
6323-RSBSO,Male,0,Yes,No,21,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),28.21,634.96,Yes
7426-CUIHJ,Male,0,No,Yes,34,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),115.74,3889.6,Yes
7039-SMRUV,Male,1,No,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),62.51,4404.96,No
4777-CEZNI,Female,0,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),119.98,104.28,Yes
8700-DCRUX,Male,1,No,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),75.22,4328.27,Yes
6142-WYUEK,Female,1,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),46.68,537.57,Yes
9041-JSSBQ,Female,0,No,Yes,22,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),42.13,,Yes
8120-BLRXR,Female,0,Yes,Yes,20,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),118.22,2349.43,Yes
9228-EEMNO,Female,0,No,Yes,41,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),94.34,3899.9,No
7495-BFBFE,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),76.52,309.08,Yes
9607-NLOJN,Female,0,No,Yes,49,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),117.53,5792.75,Yes
8289-PWXTA,Male,0,No,Yes,37,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,83.1,3096.95,No
8544-ZSVRT,Male,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),90.49,4298.45,Yes
4041-VFHUL,Male,1,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,103.78,814.17,Yes
6476-VWTXC,Female,1,No,Yes,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.25,1726.16,No
7380-LYNMU,Male,1,Yes,Yes,31,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,78.55,2419.03,No
3167-JVRMJ,Male,0,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),64.17,4329.32,No
6302-HGYUB,Female,1,No,No,38,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),53.3,1987.44,No
4692-RBWHT,Male,1,No,Yes,43,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,60.0,2587.28,No
3878-LMDOU,Male,1,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),62.28,3936.25,No
9555-KKIJR,Female,1,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,53.47,492.22,Yes
6509-LIWJY,Female,1,No,No,3,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,28.95,67.08,No
1714-HNAQL,Male,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,72.0,683.23,No
8959-EKLOP,Male,1,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,113.37,1721.59,No
2534-GSYFV,Male,1,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),39.51,2669.86,No
9679-QDSKG,Male,1,No,Yes,5,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),56.22,301.53,Yes
4487-HAICK,Female,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),84.27,5301.53,Yes
2623-CLWEU,Female,0,No,No,28,No,No phone service,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),59.23,1650.7,No
3213-WSAPF,Male,1,Yes,Yes,57,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,90.04,5138.26,No
7519-WSOAH,Female,0,Yes,No,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),76.65,3976.17,Yes
7482-EPSWI,Female,1,Yes,Yes,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,68.79,237.94,No
9600-LSSXX,Male,1,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,47.21,1466.23,Yes
1879-DRHAX,Male,0,No,No,29,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,32.2,952.38,No
7482-QSUBI,Female,1,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),47.04,2665.99,No
4238-XDZKT,Male,1,No,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),20.51,1391.25,Yes
6779-NMXUL,Female,0,No,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.8,1324.41,No
3579-KIZEY,Male,1,Yes,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),94.02,200.73,No
6387-PEVXI,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,53.97,2099.09,No
3364-FDPFX,Female,0,Yes,Yes,37,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),62.17,2307.21,No
5041-BRTPF,Female,1,Yes,Yes,32,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,79.83,2506.82,No
4606-KYMEQ,Male,0,No,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.21,1660.87,No
1551-ZBIAU,Male,0,No,No,14,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),74.29,1083.65,No
6342-OSGVT,Male,1,No,Yes,14,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,58.23,,No
7342-QQINJ,Female,1,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,41.48,391.56,No
1582-SMQQV,Female,1,No,Yes,58,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),116.96,6735.46,Yes
4185-WPYIG,Female,1,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,44.69,1433.18,No
8525-MQCFP,Female,0,Yes,Yes,32,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),52.25,1718.73,No
9094-XQFSB,Male,1,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,95.86,6463.83,No
3436-QZPYE,Male,1,No,Yes,29,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,42.1,1254.12,No
8143-WZNCR,Male,0,Yes,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.18,63.0,Yes
9492-ZOTSY,Male,1,Yes,No,62,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),20.67,1302.24,No
2747-YHLGE,Male,0,Yes,Yes,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),48.75,1991.32,No
9197-LYGDD,Male,0,No,Yes,10,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),113.15,1176.62,Yes
6623-XFHLC,Female,0,Yes,No,47,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,64.26,3056.51,No
4792-DESIS,Male,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,71.24,2169.12,Yes
2265-CGTED,Female,0,No,Yes,41,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,44.88,1879.95,Yes
8091-ENWDT,Male,1,No,No,10,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,46.19,476.63,No
2436-IJBJV,Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Mailed check,27.29,1882.0,No
9257-KDMFS,Male,0,No,Yes,4,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),50.46,210.7,No
2442-QVNPI,Male,1,Yes,Yes,25,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),61.07,1480.61,No
3416-ZZHBU,Female,1,No,Yes,65,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,34.76,2303.73,No
6023-JPPHJ,Male,0,No,Yes,58,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,119.67,6903.98,Yes
1274-WXJPZ,Male,0,Yes,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),36.39,915.61,No
3671-ZUUPD,Male,0,Yes,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,97.87,7068.68,Yes
4566-KNNOF,Female,1,No,Yes,6,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),91.59,584.1,Yes
1172-JMOTD,Male,0,No,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),29.17,383.95,No
6542-KKHIK,Male,1,Yes,No,48,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),43.67,2084.17,No
2954-ZRBHU,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,85.65,4774.35,Yes
7276-OPSFT,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,93.01,2293.82,Yes
2147-VIYGT,Female,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,92.01,2120.35,No
5196-DLKML,Female,1,No,Yes,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,101.09,3629.23,Yes
1618-FAJWN,Male,1,Yes,No,21,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),93.71,1941.42,No
4415-KIKLU,Female,1,Yes,Yes,9,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),103.5,920.49,No
2124-FOHFV,Female,1,No,No,34,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Electronic check,36.89,1228.98,No
8491-MIIPV,Female,1,Yes,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,77.85,5472.51,No
4581-QYOKA,Female,0,No,Yes,50,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),79.21,3953.76,No
6040-AILRG,Female,1,Yes,Yes,3,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,98.09,280.89,No
4130-RAOXJ,Male,1,No,No,21,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),62.97,1281.16,No
6241-TQXKH,Female,1,Yes,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,111.51,1372.91,No
1988-KLULH,Female,0,Yes,No,68,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,34.32,2285.97,No
3322-TXLJN,Male,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),57.38,3520.71,Yes
6490-WLKZR,Female,0,Yes,No,51,No,No phone service,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,47.05,2366.61,Yes
2428-TZHNK,Female,1,No,No,62,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,55.28,3412.95,No
2364-SPNBT,Male,0,Yes,Yes,65,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,32.86,2176.71,No
5588-LEIUZ,Female,1,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),96.93,3401.25,No
1885-ADPBR,Male,1,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),90.85,999.77,No
9857-HHYXN,Male,1,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),99.54,533.31,No
8733-JCMCH,Male,1,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,117.15,,No
1064-OVKRS,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),90.93,1940.51,No
4244-OKCCD,Female,0,Yes,Yes,69,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,94.55,6543.51,Yes
4015-UJXDS,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,91.39,1818.03,No
6220-IVRYG,Female,0,No,No,7,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),119.18,812.76,No
2435-KGHCD,Male,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),53.18,780.83,No
5865-WVMQV,Male,0,Yes,No,43,No,No phone service,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,43.77,1863.56,No
2348-RPRRE,Female,1,No,Yes,21,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,115.77,,No
8817-KOOIL,Male,0,Yes,Yes,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),79.35,3522.74,Yes
4994-GUAOF,Female,0,Yes,No,71,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),81.82,5775.0,Yes
4542-ODITL,Female,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,68.69,1062.92,Yes
9346-ZTTRT,Female,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,88.26,1243.6,No
6126-JFJCY,Female,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),105.78,1294.42,Yes
7435-PLBXU,Male,0,No,Yes,27,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),47.88,1269.56,No
8265-SRPLB,Female,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,59.06,559.4,No
5274-WAOGW,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),118.22,3510.19,Yes
5594-RKXZC,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),46.36,320.16,Yes
1172-LXIXT,Female,1,No,No,65,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,63.46,4166.4,No
9114-ZDYZD,Male,0,Yes,Yes,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),89.2,6290.66,No
8269-KXFWB,Male,1,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,30.09,469.62,No
